#{"t_start": 1772840830.1258857, "env_id": "None"}
r,l,t
5280.0,584,1.408601
6585.614355,584,2.836102
6846.0,584,4.242126
6821.180834,584,5.933643
6893.261676,584,7.640858
6968.0,584,9.065386
7000.0,584,10.465974
6936.632144,584,11.885487
6811.706786,584,13.310183
7000.0,584,14.711735
7000.0,584,16.143919
6919.508041,584,17.714314
7000.0,584,19.574768
7000.0,584,20.992436
6898.605593,584,22.398298
7000.0,584,23.789411
7000.0,584,25.192857
6890.196897,584,26.611975
7000.0,584,28.025484
6818.261068,584,29.504332
6954.420614,584,31.393583
7000.0,584,32.977287
6992.194456,584,34.414322
7000.0,584,35.850349
6995.377028,584,37.260651
6860.47688,584,38.676329
7000.0,584,40.089719
6859.353868,584,41.507403
7000.0,584,43.297535
7000.0,584,44.898548
6829.973208,584,46.408756
7000.0,584,47.814946
7000.0,584,49.226693
7000.0,584,50.683238
7000.0,584,52.103467
6815.387753,584,53.555025
6813.491961,584,55.304668
6992.059037,584,56.99068
6993.118608,584,58.402115
6996.89087,584,59.808277
7000.0,584,61.22627
7000.0,584,62.637231
7000.0,584,64.051969
7000.0,584,65.474591
6931.970285,584,67.158722
6890.938904,584,68.889039
6984.18904,584,70.326494
7000.0,584,71.748796
6950.309389,584,73.181585
7000.0,584,74.589803
6993.671631,584,75.99737
6948.835014,584,77.438247
7000.0,584,79.004252
6811.423073,584,80.856091
6905.629891,584,82.245278
6997.024357,584,83.665777
7000.0,584,85.078332
6973.64134,584,86.492142
6994.327315,584,87.91475
6888.987485,584,89.331664
6821.959098,584,90.837556
6862.537447,584,92.724862
7000.0,584,94.203779
6917.90743,584,95.614061
7000.0,584,97.013353
6999.150995,584,98.496853
6989.268641,584,99.908354
6814.825561,584,101.334622
6907.2175,584,102.745546
6934.351743,584,104.533494
6923.602152,584,106.128872
7000.0,584,107.551826
7000.0,584,108.939124
7000.0,584,110.354649
6819.780373,584,111.805945
6946.216717,584,113.210198
6886.336419,584,114.638349
6912.768873,584,116.342544
6888.002674,584,118.053117
6879.0461,584,119.468198
7000.0,584,120.882005
6918.605848,584,122.281344
6962.921872,584,123.682384
7000.0,584,125.122987
6905.201454,584,126.539899
6896.601338,584,128.175052
6871.177528,584,129.956883
6880.147056,584,131.401706
6879.926971,584,132.830082
7000.0,584,134.244974
6900.485865,584,135.673044
6892.488048,584,137.078838
6879.145697,584,138.511874
6889.872128,584,140.032268
6902.820906,584,141.986816
6810.07679,584,143.474574
6866.049998,584,144.915178
6885.028281,584,146.3443
6930.257504,584,147.794279
7000.0,584,149.262565
6973.40741,584,150.687678
6878.791737,584,152.218986
6970.637548,584,154.165305
6863.925396,584,155.597843
6805.505691,584,157.001921
7000.0,584,158.435513
6889.327465,584,159.847914
6805.582821,584,161.274993
7000.0,584,162.697394
6859.475726,584,164.145487
6881.058355,584,166.032197
6908.240885,584,167.59977
6941.684078,584,169.025048
7000.0,584,170.424803
7000.0,584,171.888995
7000.0,584,173.284796
6826.586303,584,174.6869
7000.0,584,176.102658
6931.859357,584,177.820653
6963.798192,584,179.476415
7000.0,584,180.88373
7000.0,584,182.281472
7000.0,584,183.682419
6888.058932,584,185.095731
6995.465328,584,186.519653
6929.665453,584,187.928951
6861.765642,584,189.582111
7000.0,584,191.32992
7000.0,584,192.749842
6892.916772,584,194.169214
6908.147951,584,195.597761
6994.210528,584,197.0407
6816.006658,584,198.472422
6823.006626,584,199.900144
7000.0,584,201.464816
6988.387765,584,203.360862
6993.440412,584,204.774757
6972.513096,584,206.209427
6808.080378,584,207.63147
7000.0,584,209.063799
6931.239764,584,210.502169
6976.068739,584,211.931418
6826.804567,584,213.480001
7000.0,584,215.503454
6953.374943,584,216.934509
6999.030495,584,218.354833
6990.961482,584,219.787924
6939.523103,584,221.228735
6976.822109,584,222.648483
6942.566031,584,224.078045
6830.51206,584,225.519396
7000.0,584,227.402074
6981.551888,584,228.939229
6941.89775,584,230.413288
7000.0,584,231.823456
6911.223231,584,233.276341
6928.088824,584,234.709118
7000.0,584,236.116207
7000.0,584,237.54547
6824.48782,584,239.302908
6983.871758,584,240.950101
6903.660129,584,242.345183
7000.0,584,243.758479
6939.043939,584,245.189623
7000.0,584,246.616962
6894.726898,584,248.024776
7000.0,584,249.448514
6814.884174,584,251.120324
7000.0,584,252.829885
6864.842889,584,254.265724
6919.049503,584,255.711929
