#{"t_start": 1772847381.4348233, "env_id": "None"}
r,l,t
9613.331068,584,3.652965
11079.833556,584,7.742923
11257.02281,584,12.524699
11055.445831,584,16.528738
11107.795884,584,20.575019
11265.752745,584,25.230244
11267.087223,584,29.317563
11063.944763,584,33.410574
10840.867868,584,38.114198
11062.680973,584,42.157019
11168.94266,584,46.161863
11055.582149,584,50.821037
11062.272265,584,54.803956
11120.469498,584,58.893038
11044.727572,584,63.512826
11036.431383,584,67.522348
11266.327285,584,71.835559
11035.222967,584,76.365694
11149.981647,584,80.344917
10887.638877,584,84.682414
11004.529535,584,89.068498
11245.072895,584,93.037473
11180.678957,584,97.419434
11264.170884,584,101.702888
11188.755525,584,105.741428
11043.077257,584,110.380212
11259.750653,584,114.446503
11044.448184,584,118.445123
11207.114887,584,123.124159
11260.145369,584,127.12917
10838.869522,584,131.147014
11262.571775,584,135.750883
11200.262199,584,139.742389
11180.054531,584,143.765396
11158.462437,584,148.485193
10880.544332,584,152.532018
10901.214886,584,156.50155
11128.200648,584,161.13051
11236.114739,584,165.304711
11249.23639,584,169.356688
11042.67973,584,174.001539
11185.125035,584,178.090885
11042.020959,584,182.092895
11266.081268,584,186.675312
11044.823516,584,190.723595
11004.616512,584,194.896838
11234.633994,584,199.343595
11051.46251,584,203.344074
11047.276072,584,207.529325
11260.290322,584,211.927205
11178.895967,584,215.955455
11027.463724,584,220.358312
11211.049386,584,224.653587
10883.210182,584,228.77004
11041.709908,584,233.432291
11127.45363,584,237.465952
11271.079483,584,241.51776
11199.219699,584,246.116464
11172.412538,584,250.126253
11039.769337,584,254.097538
10870.93771,584,258.705921
10955.226685,584,262.72303
11254.747721,584,266.673222
11054.043674,584,271.277891
11169.642076,584,275.290517
11208.472548,584,279.312338
11241.387682,584,283.86661
10829.553011,584,287.825039
11031.914633,584,291.78689
11005.458475,584,296.334709
11069.412389,584,300.344073
11206.432289,584,304.333714
11151.454075,584,308.923376
11255.595375,584,312.918347
10849.27007,584,316.840923
11021.824417,584,321.440345
11030.144857,584,325.459755
11036.920175,584,329.588519
11002.843831,584,334.136577
11036.980662,584,338.137995
11259.368407,584,342.381919
11067.201144,584,346.765786
11043.439278,584,350.691904
11266.172212,584,354.902305
11043.353393,584,359.288649
