#{"t_start": 1772839416.69593, "env_id": "None"}
r,l,t
1771.437366,584,0.40167
2211.483652,584,0.900651
2260.0,584,1.44127
2333.533337,584,1.965226
3118.411956,584,2.524786
3522.906891,584,3.085165
3926.0,584,3.677479
4104.494873,584,4.276744
3981.736977,584,4.86726
5487.087322,584,5.492886
6088.954305,584,6.13623
6307.310665,584,6.783771
6269.819667,584,7.461061
7435.11434,584,8.138256
7929.237178,584,8.838618
8943.305189,584,9.752997
10209.424954,584,10.720841
10260.736853,584,11.587094
10528.32845,584,12.335946
10212.523584,584,13.087933
10306.414042,584,13.83711
10514.462339,584,14.578622
10310.319819,584,15.311074
10330.993728,584,16.050236
10336.78858,584,16.796872
10410.352491,584,17.515799
10289.2483,584,18.260292
10394.712308,584,19.005549
10487.762171,584,19.736026
10322.784584,584,20.483297
9996.65843,584,21.266326
10503.788475,584,22.230648
10429.301829,584,23.22953
10254.004009,584,24.02747
10356.038191,584,24.76254
10253.441562,584,25.516337
9599.63283,584,26.276076
10532.745833,584,27.038951
10258.221435,584,27.771755
10382.139573,584,28.53002
10213.984161,584,29.282224
10484.242958,584,30.031331
10454.769157,584,30.768125
10041.405745,584,31.521455
10139.000578,584,32.294697
10118.94052,584,33.030624
10616.689005,584,33.985837
10174.097442,584,34.916435
10229.445631,584,35.882549
10481.640259,584,36.628805
10166.705091,584,37.371071
10315.494844,584,38.112304
10375.240902,584,38.863874
10017.9208,584,39.610252
10412.411138,584,40.347878
10611.899686,584,41.097913
10535.386021,584,41.846265
10140.809202,584,42.587626
10319.762573,584,43.316863
10491.861725,584,44.066557
10067.84964,584,44.817242
10280.606264,584,45.546942
10414.336034,584,46.473287
10301.824283,584,47.425683
10390.554957,584,48.320535
10479.546762,584,49.075925
10331.168046,584,49.823482
9827.024938,584,50.556009
10082.028934,584,51.297256
10158.221291,584,52.034976
10246.810396,584,52.758529
10735.881765,584,53.523124
10504.007259,584,54.284446
10371.912737,584,55.024396
10104.706948,584,55.75267
10046.530117,584,56.498736
10459.576313,584,57.25759
9999.039667,584,58.056133
10048.238608,584,58.985373
10224.013812,584,59.977811
10468.785615,584,60.797959
10361.010166,584,61.552047
10028.98346,584,62.303148
10360.639542,584,63.044304
10307.464804,584,63.820338
10105.595721,584,64.59183
10307.53611,584,65.347091
10478.501013,584,66.094039
9854.864045,584,66.849423
10298.357424,584,67.597865
10262.842711,584,68.33128
10081.986509,584,69.069576
10351.932216,584,69.828818
9949.90992,584,70.705206
10442.605831,584,71.644022
10038.070793,584,72.61538
10232.846389,584,73.377126
10268.824601,584,74.129402
10248.976886,584,74.891893
10549.402796,584,75.663902
10443.332171,584,76.408368
10421.57133,584,77.153743
10177.697102,584,77.899085
10215.926719,584,78.634968
10083.714945,584,79.392629
10436.970255,584,80.155098
10330.349408,584,80.928623
9914.131444,584,81.659029
10405.029062,584,82.431266
10006.581119,584,83.405421
10084.083422,584,84.38906
10179.181102,584,85.209
10231.541541,584,85.948876
10338.783571,584,86.693163
10380.737289,584,87.44502
10456.678324,584,88.192325
9993.073579,584,88.918665
10346.944623,584,89.653023
10243.208923,584,90.385308
10257.323365,584,91.110874
10112.874273,584,91.857252
10224.297019,584,92.617334
10576.161918,584,93.362435
10240.401683,584,94.111294
10434.009933,584,94.993695
10171.104011,584,95.92178
9751.984095,584,96.902933
9999.329993,584,97.63961
10729.909086,584,98.384392
10139.324002,584,99.128464
10174.997177,584,99.867379
10315.996553,584,100.61204
10071.690528,584,101.363024
9940.828806,584,102.097966
10140.729742,584,102.84403
10399.362178,584,103.579253
10236.855297,584,104.330956
10515.074432,584,105.076107
9925.449042,584,105.810941
10230.731907,584,106.542477
9883.707744,584,107.451597
10331.552911,584,108.402081
10089.881504,584,109.319614
10313.91395,584,110.071618
10318.538867,584,110.814641
10092.297481,584,111.57353
10004.5783,584,112.310687
10680.35001,584,113.067286
10460.644097,584,113.816013
10237.57419,584,114.576074
9885.109461,584,115.320092
10228.369927,584,116.053141
10406.513153,584,116.800209
10370.37618,584,117.537945
10599.193589,584,118.269732
10073.163958,584,119.0063
10166.191877,584,119.984948
10407.27427,584,120.951898
10613.317268,584,121.787957
10073.597121,584,122.568235
10685.287366,584,123.315064
10174.345995,584,124.060243
10187.826128,584,124.837146
10036.609081,584,125.598213
10369.605102,584,126.335026
10242.212094,584,127.080009
10159.679936,584,127.817737
10145.205194,584,128.562606
10051.687141,584,129.305416
10287.57769,584,130.04961
10125.59676,584,130.793537
