#{"t_start": 1772874617.7311068, "env_id": "None"}
r,l,t
-605.181074,47,7.403904
-745.447274,47,7.450766
-468.418576,47,7.490481
-639.341528,47,7.530073
-502.273417,47,7.570019
-891.325932,47,7.616129
-793.719301,47,7.656936
-614.614424,47,7.70242
-868.324695,47,7.743854
-479.453829,47,7.788352
-727.949723,47,7.835268
-466.004822,47,7.876391
-691.557474,47,7.91758
-352.122145,47,7.969961
-223.742757,47,8.011137
-743.953993,47,8.051336
-685.883512,47,8.093067
-571.769263,47,8.134815
-528.738687,47,8.177133
-840.713595,47,8.218231
-459.755478,47,8.261636
-452.598911,47,8.304181
-622.997877,47,8.344885
-727.179663,47,8.387793
-499.859077,47,8.433952
-480.4913,47,8.474572
-883.864819,47,8.51485
-897.255942,47,8.555312
-832.88896,47,8.595478
-567.290622,47,8.636822
-654.182909,47,8.678323
-242.005416,47,8.719669
-422.529202,47,8.761337
-410.70717,47,8.803791
-827.050593,47,8.844177
-360.362267,47,8.88564
-912.081045,47,8.929089
-548.69386,47,8.974174
-282.420349,47,9.022524
-661.30738,47,9.062919
-783.050955,47,9.103749
-216.657099,47,9.145401
-721.5871,47,9.190008
-974.215713,47,10.51384
-342.247017,47,10.555023
-427.32498,47,10.596118
-263.176018,47,10.637898
-173.63336,47,10.678864
-399.774128,47,10.720336
-567.342229,47,10.761478
-327.263116,47,10.80379
-447.420903,47,10.844849
-141.384676,47,10.886324
-311.480923,47,10.928161
-421.687521,47,10.970364
-554.605683,47,11.013474
-304.065112,47,11.060578
-254.312513,47,11.111207
-439.203144,47,11.153273
-241.8256,47,11.19599
-522.613842,47,11.238441
-277.557237,47,11.28246
-546.553124,47,11.324198
-286.856811,47,11.373023
-326.611732,47,11.430466
-206.501343,47,11.471828
-291.765489,47,11.512206
-169.587264,47,11.553006
-252.220126,47,11.59311
-268.256179,47,11.634697
-217.262292,47,11.675423
-518.136504,47,11.716291
-331.978668,47,11.756834
-384.13817,47,11.799028
-296.440521,47,11.839791
-175.724731,47,11.880284
-424.356558,47,11.92107
-365.843544,47,11.964898
-617.825896,47,12.007601
-426.862026,47,12.048682
-480.589668,47,12.100566
-220.796506,47,12.159033
-480.812625,47,12.208154
-370.332877,47,12.25585
-164.713048,47,12.305483
-204.714502,47,12.347353
-566.904714,47,12.388133
-48.435531,47,13.895925
-236.069507,47,13.944585
-249.262011,47,13.994037
-198.645111,47,14.044585
-189.20891,47,14.097791
-228.012633,47,14.147787
-305.519495,47,14.202935
-119.086809,47,14.260654
-190.047152,47,14.317393
-309.518533,47,14.36546
-113.232073,47,14.413477
-125.835695,47,14.463303
-143.14816,47,14.515763
-168.624741,47,14.563184
-330.910282,47,14.610276
-789.283805,47,14.657383
-199.775491,47,14.705821
-458.172377,47,14.752964
-100.970917,47,14.801425
-272.541889,47,14.848553
-231.825119,47,14.896561
-228.575584,47,14.944316
-323.346524,47,14.992812
-258.249312,47,15.043387
-391.014258,47,15.095192
-306.251391,47,15.143036
-196.462796,47,15.191184
-54.097372,47,15.23862
-88.817014,47,15.30108
-177.57439,47,15.366536
-318.676976,47,15.418625
-12.33356,47,15.472445
-265.103423,47,15.524871
-322.998376,47,15.579574
-218.538633,47,15.628809
-172.337709,47,15.679233
-169.150586,47,15.727426
-134.031081,47,15.775117
-257.829862,47,15.827352
-336.566496,47,15.875386
-505.735682,47,15.925117
-133.980671,47,15.974739
-171.865361,47,16.025275
-332.520634,47,17.845481
-168.699492,47,17.904394
-229.378695,47,17.967499
-163.180417,47,18.02239
10.600002,47,18.076852
-249.242838,47,18.131885
-90.165225,47,18.175175
-94.459623,47,18.216695
-152.809876,47,18.257701
-191.204449,47,18.298534
-144.981101,47,18.341158
6.900002,47,18.38193
-70.455383,47,18.429196
-476.44436,47,18.472424
-285.113773,47,18.516452
-103.946453,47,18.560353
-65.055713,47,18.604141
-146.90461,47,18.65327
-184.466945,47,18.694558
-170.652513,47,18.736827
-84.479301,47,18.778734
-13.446077,47,18.821538
-139.156806,47,18.862572
-154.273192,47,18.903962
-135.64238,47,18.945942
-162.769753,47,18.987415
11.500002,47,19.029978
-95.017135,47,19.071119
-120.615905,47,19.113099
-35.836936,47,19.154345
-38.730308,47,19.196009
-157.497256,47,19.237518
-131.113207,47,19.278701
-130.09708,47,19.320852
-217.797709,47,19.36187
-100.939347,47,19.404583
-60.841926,47,19.448971
-57.390848,47,19.489685
-436.268351,47,19.530539
-125.99951,47,19.571923
-45.192803,47,19.613034
-164.159388,47,19.660152
-168.60817,47,19.705351
-185.854362,47,19.745981
-99.511144,47,20.999801
-72.823378,47,21.041973
8.200002,47,21.082947
-138.305702,47,21.123515
-125.548257,47,21.16495
-122.460132,47,21.207047
6.550002,47,21.247807
2.700001,47,21.288898
-84.159723,47,21.331329
-26.265122,47,21.3726
-133.306213,47,21.417799
-110.744518,47,21.459625
1.200001,47,21.501025
-135.905064,47,21.541095
10.550001,47,21.58156
-100.28961,47,21.622694
-62.285253,47,21.662758
7.600001,47,21.703861
-140.640517,47,21.760367
4.050001,47,21.811594
-13.224562,47,21.861083
-122.685224,47,21.908222
-150.742451,47,21.953177
-33.64643,47,21.995381
12.750001,47,22.037785
-202.826491,47,22.079098
-95.780662,47,22.120444
2.176662,47,22.161058
-44.662967,47,22.203288
-53.825704,47,22.246193
-195.28462,47,22.289865
-70.665774,47,22.331116
-45.237687,47,22.373088
-94.584774,47,22.417935
-55.608711,47,22.459344
-74.592288,47,22.50721
3.027142,47,22.554484
-165.137091,47,22.594929
5.300001,47,22.635928
-113.729624,47,22.676581
-51.822039,47,22.717639
-129.137495,47,22.758683
-24.806466,47,22.810278
-40.496433,47,24.169754
-58.665158,47,24.212069
-32.253807,47,24.253962
8.700002,47,24.296663
-17.465211,47,24.337524
9.250001,47,24.38113
11.250001,47,24.427856
4.900001,47,24.468421
-55.775928,47,24.511451
