#{"t_start": 1772839547.6767745, "env_id": "None"}
r,l,t
7332.053873,584,6.453999
10596.472088,584,13.760898
10807.315244,584,21.076419
10723.942999,584,28.751205
10776.761791,584,35.789836
10852.291193,584,43.458153
10720.437614,584,50.908685
10371.846815,584,58.173771
10036.151195,584,65.8963
10363.703175,584,73.029577
10389.49077,584,80.781265
9828.764846,584,88.483383
9855.689419,584,95.583924
9821.639731,584,103.281323
9338.80547,584,110.354583
9669.870669,584,118.052591
9703.246179,584,125.725875
9464.100486,584,132.830879
9766.772965,584,140.50078
9392.509834,584,147.686924
9475.311473,584,155.282171
9905.372485,584,162.967904
9681.958221,584,170.054496
9615.271895,584,177.824296
9634.507681,584,185.178311
9428.638739,584,192.647138
9803.932994,584,200.358446
9498.737496,584,207.561208
9907.522761,584,215.277461
9851.160214,584,222.938516
9454.092767,584,230.158554
9895.860031,584,237.910038
9693.464489,584,245.043461
9748.407902,584,252.865726
9813.245702,584,260.625184
9197.147769,584,267.706431
9391.835832,584,275.509778
9388.989448,584,282.760532
9772.372909,584,290.371587
9528.899992,584,298.131077
9607.938541,584,305.301091
9580.562752,584,313.074881
9574.561665,584,320.59987
9870.610026,584,327.980808
9485.816966,584,335.762909
9467.567047,584,342.932631
9623.154815,584,350.669135
9608.261384,584,358.449162
9427.204504,584,365.585432
9976.155773,584,373.356082
9678.920751,584,380.45595
9492.961208,584,388.194088
9518.615226,584,396.015441
9158.324525,584,403.16631
9363.795526,584,410.910113
9413.209956,584,418.237261
9819.354081,584,425.668503
9702.181981,584,433.346941
9681.392326,584,440.403804
9484.804946,584,448.069874
9324.398278,584,455.494215
9459.30197,584,462.794104
9635.047885,584,470.500231
9600.631419,584,477.613404
9882.478781,584,485.364359
9445.703271,584,493.077561
9783.994334,584,500.167828
9492.785304,584,507.846109
9733.376441,584,515.011706
9360.694159,584,522.82193
9558.780113,584,530.529994
9738.017197,584,537.598456
9572.072218,584,545.293585
9760.411566,584,552.548796
9521.980541,584,560.212636
9597.626152,584,568.061299
9584.136087,584,575.206018
9640.590254,584,582.907216
9471.526445,584,590.35599
9594.070776,584,597.70234
9704.650847,584,605.413205
9399.938795,584,612.515819
9769.25776,584,620.196029
9556.105641,584,627.86965
9752.7705,584,634.985855
9192.458383,584,642.665487
9346.07148,584,649.726245
9609.630613,584,657.462847
9121.370899,584,665.21431
9737.298442,584,672.406355
9805.858392,584,680.220759
9367.109227,584,687.528938
9150.821723,584,695.053874
9632.110332,584,702.780854
9668.372569,584,709.958472
9291.488607,584,717.678697
9155.159946,584,725.196482
9239.935183,584,732.495457
9640.040395,584,740.263693
9856.42983,584,747.403553
9499.285069,584,755.221272
9668.292318,584,762.953912
9835.168575,584,770.16017
9347.952496,584,777.929719
9368.387743,584,785.086801
9579.986141,584,792.805295
9410.722786,584,800.487596
9409.028546,584,807.567209
9591.396337,584,815.327624
9486.311486,584,822.815479
9196.185227,584,830.1743
9103.305193,584,837.875611
9727.537261,584,844.939846
9709.968361,584,852.645997
9883.948332,584,860.174855
9644.618282,584,867.379422
9604.55371,584,875.123246
9675.230517,584,882.255484
9783.281107,584,889.99678
9755.129593,584,897.711511
9509.76398,584,904.79225
9561.924058,584,912.525836
9815.886112,584,919.588196
9290.673449,584,927.297011
9684.584683,584,935.019553
9504.437901,584,942.123151
9444.449308,584,949.870228
9866.564904,584,957.375669
9400.730814,584,964.819828
9407.576048,584,972.55455
9756.495631,584,979.696927
9569.487073,584,987.464709
9240.141616,584,995.00659
9480.835387,584,1002.283174
9659.064932,584,1010.040962
9750.281688,584,1017.219096
9587.536512,584,1024.919461
9743.923305,584,1032.718237
9290.025913,584,1039.858376
9476.585702,584,1047.718441
9378.434582,584,1054.982013
10025.907637,584,1062.632992
9649.394699,584,1070.292361
9669.036201,584,1077.459175
9661.057608,584,1085.205322
9824.983962,584,1092.698191
9837.435673,584,1100.044585
9551.727559,584,1107.792709
9444.21095,584,1114.958142
9481.54977,584,1122.757214
9399.452943,584,1130.548157
9745.448795,584,1137.739645
9779.320054,584,1145.444429
9617.27302,584,1152.688461
9689.350869,584,1160.370937
9706.097521,584,1168.132637
9596.652841,584,1175.265234
9598.771119,584,1183.152565
9724.737554,584,1190.753419
9170.441723,584,1198.13885
9756.305407,584,1205.86308
9582.554618,584,1213.009311
9758.22086,584,1220.76931
9540.728334,584,1228.497871
9426.172625,584,1235.539705
9339.649861,584,1243.237447
9772.288871,584,1250.43779
9452.731114,584,1258.235409
9780.314404,584,1265.913996
9457.627246,584,1273.013015
9555.744284,584,1280.736685
