#{"t_start": 1772846688.9420397, "env_id": "None"}
r,l,t
9688.336277,584,12.296715
11079.833556,584,15.932129
11257.02281,584,21.751085
11055.445831,584,25.634052
11107.795884,584,29.313244
11265.752745,584,34.135001
11267.087223,584,37.768817
11063.944763,584,41.514619
10840.867868,584,46.597571
11062.680973,584,50.543431
11168.94266,584,54.287835
11055.582149,584,59.766837
11062.272265,584,63.502798
11120.469498,584,67.301197
11044.727572,584,71.755771
11036.431383,584,75.759942
11266.327285,584,82.165169
11035.222967,584,86.377058
11149.981647,584,90.046818
10887.638877,584,93.825606
11004.529535,584,98.251655
11245.072895,584,101.9766
11180.678957,584,105.649602
11264.170884,584,110.035623
11188.755525,584,113.713809
11043.077257,584,117.457447
11259.750653,584,121.850555
11044.448184,584,125.605446
11207.114887,584,129.318502
11260.145369,584,133.724286
10838.869522,584,137.398755
11262.571775,584,141.067374
11200.262199,584,145.32688
11180.054531,584,149.35678
11158.462437,584,153.122944
10880.544332,584,157.338652
10901.214886,584,161.439251
11128.200648,584,165.184349
11236.114739,584,169.147849
11249.23639,584,173.334496
11042.67973,584,177.061587
11185.125035,584,180.814718
11042.020959,584,186.271736
11266.081268,584,189.908119
11044.823516,584,193.721476
11004.616512,584,198.08124
11234.633994,584,201.819123
11051.46251,584,205.550442
11047.276072,584,209.922485
11260.290322,584,213.655205
11178.895967,584,217.44034
11027.463724,584,221.827159
11211.049386,584,225.484409
10883.210182,584,229.196221
11041.709908,584,233.681806
11127.45363,584,237.454223
11271.079483,584,241.142548
11199.219699,584,245.6474
11172.412538,584,249.406743
11039.769337,584,253.156434
10870.93771,584,257.422808
10955.226685,584,261.347659
11254.747721,584,265.031743
11054.043674,584,269.188982
11169.642076,584,273.241061
11208.472548,584,276.894672
11241.387682,584,280.635311
10829.553011,584,284.905452
11031.914633,584,288.597727
11005.458475,584,292.341782
11069.412389,584,296.789238
11206.432289,584,300.520792
11151.454075,584,304.259349
11255.595375,584,308.648467
10849.27007,584,312.301363
11021.824417,584,315.944585
11030.144857,584,320.290624
11036.920175,584,323.92336
11002.843831,584,327.583481
11036.980662,584,331.777689
11259.368407,584,335.565983
11067.201144,584,339.230602
11043.439278,584,343.193742
11266.172212,584,347.171616
11043.353393,584,350.867203
11033.602044,584,354.666588
11032.519887,584,358.963225
11036.141325,584,362.692434
10986.815927,584,366.398152
11251.907684,584,370.717262
11045.043084,584,374.372668
11059.291264,584,378.025341
10975.769553,584,382.338661
11031.897883,584,386.009594
11030.798019,584,389.819497
10901.702308,584,394.260278
10963.232935,584,398.054078
10983.37132,584,401.745429
11074.879717,584,406.051586
11254.747511,584,409.821816
11183.246085,584,413.572023
11041.605795,584,417.72367
11031.321353,584,421.745143
11038.765992,584,425.500182
10869.689474,584,429.404872
11104.627462,584,433.564841
11020.060895,584,437.273879
10874.832552,584,440.951765
11178.627355,584,445.39688
11038.175065,584,449.171736
10982.77907,584,452.943895
11086.506692,584,457.471315
11034.153315,584,461.302635
11153.401497,584,465.047269
11265.594464,584,469.48497
11164.245443,584,473.201841
10860.252457,584,476.933277
11264.790656,584,481.304373
11050.988638,584,485.047997
11014.196147,584,488.787754
11019.797314,584,493.244732
11049.276137,584,496.915683
11265.932763,584,500.604103
11079.386797,584,504.718874
11158.022918,584,508.713759
11099.686242,584,512.46929
10956.523534,584,516.501951
11195.849237,584,520.630386
11137.85189,584,524.364453
11000.939075,584,528.204857
11049.8444,584,532.470914
11182.700968,584,536.118645
10856.281759,584,539.900422
10848.278022,584,544.254497
11125.360638,584,547.898142
11153.744562,584,551.590494
11131.580195,584,556.000558
11209.771405,584,559.719041
10858.796254,584,563.465866
11196.359841,584,567.850459
11108.439995,584,571.569776
11224.066466,584,575.27965
10864.450973,584,579.713693
11044.216326,584,583.400511
11126.871747,584,587.064196
11183.236651,584,591.208367
11232.562232,584,595.345354
11037.702813,584,599.216292
11167.95375,584,603.449471
11052.88017,584,607.695776
10925.119368,584,611.5806
11130.585468,584,615.561065
11191.066349,584,619.669453
11041.747874,584,623.358633
11257.858528,584,627.020696
11037.042953,584,631.45082
11070.247526,584,635.335963
11255.069228,584,639.13046
11257.756936,584,643.550236
10862.357587,584,647.398542
11142.710015,584,651.156313
11016.831684,584,655.657896
11041.20171,584,659.484396
11052.758146,584,663.206364
11121.22899,584,667.608687
11088.092941,584,671.416724
11271.987982,584,675.124651
10857.412891,584,679.548684
11123.790868,584,683.237908
11036.934758,584,686.917486
11055.762711,584,691.226986
